,k,Q_D,P_D,E_TES,Q_in_TES,Q_out_TES,delta_in_TES,delta_out_TES,Q_in_B1,Q_in_B2,Q_out_B1,Q_out_B2,delta_B1,delta_B2,Q_in_CHP1,Q_in_CHP2,Q_out_CHP1,Q_out_CHP2,P_out_CHP1,P_out_CHP2,delta_CHP1,delta_CHP2,P_grid
89,90,516.1118787,779.3760622,730.3553241156019,423.888121300001,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,977.1309771309772,470.0,470.0,380.1243422296054,380.1243422296054,1.0,1.0,19.127377740789143
90,91,536.2694503,714.0545666,657.1294486323144,0.0,66.26945029999843,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,-0.0,1.0,333.9302243703946
91,92,404.2328834,585.2046364,716.1748257053205,65.76711660000134,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0,1.0,-0.0,205.0802941703946
92,93,418.7248531,585.2046364,761.1927026522243,51.27514690000071,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0,1.0,-0.0,205.0802941703946
93,94,414.5842893,585.2046364,809.9097701413907,55.41571069999878,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0,1.0,-0.0,205.0802941703946
94,95,372.7328846,396.6608949,898.0434630765643,97.26711540000133,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,-0.0,1.0,16.5365526703946
95,96,367.506416,396.6608949,507.68110596117515,0.0,367.5064160000002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,396.6608949
96,97,372.7328846,396.6608949,597.3221706475132,97.2671154000002,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0,1.0,-0.0,16.5365526703946
97,98,365.764259,396.6608949,693.119820042436,104.23574100000079,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,-0.0,1.0,16.5365526703946
98,99,377.9593531,396.6608949,776.8832524092303,92.04064690000172,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0,1.0,-0.0,16.5365526703946
99,100,360.5377905,396.6608949,876.7380900472652,109.46220950000145,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,-0.0,1.0,16.5365526703946
