k,Q_D,P_D,E_TES,Qin_TES,Qout_TES,Pgrid,Qin_B1,Qin_B2,Qout_B1,Qout_B2,Qin_CHP1,Qin_CHP2,Qout_CHP1,Qout_CHP2,Pout_CHP1,Pout_CHP2
49,386.6701356,396.6608949,1000.0,1000.0,897.7500000000001,27.617834087436904,0.0,0.0,0.0,0.0,1238.3995329280642,0.0,488.92013559999975,0.0,369.0430608125631,0.0
50,384.9279786,396.6608949,1000.0,1000.0,897.7500000000001,28.932836078318303,0.0,0.0,0.0,0.0,1233.9867745694019,0.0,487.17797859999985,0.0,367.7280588216817,0.0
51,384.9279786,396.6608949,1000.0,1000.0,897.7500000000001,28.932836078318303,0.0,0.0,0.0,0.0,0.0,1233.9867745694019,0.0,487.17797859999985,0.0,367.7280588216817
52,381.4436671,396.6608949,1000.0,1000.0,897.7500000000001,31.562838173049727,0.0,0.0,0.0,0.0,0.0,1225.1612641843972,0.0,483.69366709999997,0.0,365.0980567269503
53,381.4436671,396.6608949,1000.0,1000.0,897.7500000000001,31.562838173049727,0.0,0.0,0.0,0.0,1225.1612641843972,0.0,483.69366709999997,0.0,365.0980567269503,0.0
54,383.1858216,396.6608949,1000.0,1000.0,897.7500000000001,30.2478380691997,0.0,0.0,0.0,0.0,1229.5740162107395,0.0,485.43582159999994,0.0,366.4130568308003,0.0
55,421.0031304,587.1223702,1000.0,1000.0,897.7500000000001,192.1643335758867,0.0,0.0,0.0,0.0,1325.3625390070918,0.0,523.2531303999998,0.0,394.9580366241133,0.0
56,549.5079332,781.293796,1000.0,1000.0,897.7500000000001,289.33871977507613,0.0,0.0,0.0,0.0,0.0,1650.855960486322,0.0,651.7579331999999,0.0,491.9550762249239
57,524.1485906,781.293796,1000.0,1000.0,897.7500000000001,308.4802701671734,0.0,0.0,0.0,0.0,0.0,1586.6225699088145,0.0,626.3985905999999,0.0,472.81352583282666
58,508.9603391,791.3176496,1000.0,1000.0,897.7500000000001,329.9684068142858,0.0,0.0,0.0,0.0,1548.1518214285713,0.0,611.2103390999999,0.0,461.3492427857142,0.0
59,495.7810111,791.3176496,1000.0,1000.0,897.7500000000001,339.91632916484315,0.0,0.0,0.0,0.0,1514.7695316616002,0.0,598.0310110999998,0.0,451.40132043515683,0.0
60,476.4819936,791.3176496,1000.0,1000.0,897.7500000000001,354.48347003363745,0.0,0.0,0.0,0.0,1465.886508611955,0.0,578.7319935999998,0.0,436.83417956636254,0.0
61,482.171696,791.3176496,1000.0,1000.0,897.7500000000001,350.1888111805473,0.0,0.0,0.0,0.0,0.0,1480.2981155015193,0.0,584.4216959999998,0.0,441.1288384194527
62,495.1631036,791.3176496,1000.0,1000.0,897.7500000000001,340.3827335088148,0.0,0.0,0.0,0.0,1513.2044164133733,0.0,597.4131035999998,0.0,450.9349160911852,0.0
63,515.3563626,779.3760622,1000.0,1000.0,897.7500000000001,313.1990205211754,0.0,0.0,0.0,0.0,1564.3524888551162,0.0,617.6063625999999,0.0,466.1770416788246,0.0
64,518.6132248,779.3760622,1000.0,1000.0,897.7500000000001,310.740700015603,0.0,0.0,0.0,0.0,0.0,1572.6018865248222,0.0,620.8632247999998,0.0,468.63536218439697
65,518.6132248,779.3760622,1000.0,1000.0,897.7500000000001,310.740700015603,0.0,0.0,0.0,0.0,0.0,1572.6018865248222,0.0,620.8632247999998,0.0,468.63536218439697
66,526.7424659,714.0545666,1000.0,1000.0,897.7500000000001,239.2831511030398,0.0,0.0,0.0,0.0,1593.192669452887,0.0,628.9924658999997,0.0,474.77141549696023,0.0
67,391.8111945,585.2046364,1000.0,1000.0,897.7500000000001,212.28103974093221,0.0,0.0,0.0,0.0,0.0,1251.4214652988853,0.0,494.06119449999994,0.0,372.9235966590678
68,389.7409138,585.2046364,1000.0,1000.0,897.7500000000001,213.84371362289778,0.0,0.0,0.0,0.0,1246.1775932117528,0.0,491.99091379999993,0.0,371.36092277710225,0.0
69,389.7409138,585.2046364,1000.0,1000.0,897.7500000000001,213.84371362289778,0.0,0.0,0.0,0.0,0.0,1246.1775932117528,0.0,491.99091379999993,0.0,371.36092277710225
70,357.0534765,396.6608949,1000.0,1000.0,897.7500000000001,49.97286045977722,0.0,0.0,0.0,0.0,1163.382665906788,0.0,459.3034764999999,0.0,346.6880344402228,0.0
71,357.0534765,396.6608949,1000.0,1000.0,897.7500000000001,49.97286045977722,0.0,0.0,0.0,0.0,1163.382665906788,0.0,459.3034764999999,0.0,346.6880344402228,0.0
72,360.5377905,396.6608949,1000.0,1000.0,897.7500000000001,47.34285647801431,0.0,0.0,0.0,0.0,1172.2081826241133,0.0,462.7877904999999,0.0,349.3180384219857,0.0
73,357.0534765,396.6608949,1000.0,1000.0,897.7500000000001,49.97286045977722,0.0,0.0,0.0,0.0,1163.382665906788,0.0,459.3034764999999,0.0,346.6880344402228,0.0
74,364.022102,396.6608949,1000.0,1000.0,897.7500000000001,44.71285438328289,0.0,0.0,0.0,0.0,0.0,1181.033693009118,0.0,466.2721019999998,0.0,351.9480405167171
