k,Q_D,P_D,E_TES,Qin_TES,Qout_TES,Pgrid,dB1,dB2,dCHP1,dCHP2,din_TES,dout_TES,Qin_B1,Qout_B1,Qin_CHP1,Qout_CHP1,Pout_CHP1,Qin_B2,Qout_B2,Qin_CHP2,Qout_CHP2,Pout_CHP2
93,414.5842893,585.2046364,0.0,0.0,0.0,249.8991464661895,0.0,0.0,0.0,0.8820942325531914,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,861.9215993762995,414.5842893,335.3054899338105
94,372.7328846,396.6608949,0.0,0.0,0.0,95.2037830150673,0.0,0.0,0.0,0.7930486906382977,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,774.912441995842,372.7328846,301.4571118849327
95,367.506416,396.6608949,0.0,0.0,0.0,99.43082118263885,0.0,0.0,0.0,0.7819285446808509,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,764.046602910603,367.506416,297.23007371736117
96,372.7328846,396.6608949,0.0,0.0,0.0,95.2037830150673,0.0,0.0,0.0,0.7930486906382977,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,774.912441995842,372.7328846,301.4571118849327
97,365.764259,396.6608949,0.0,0.0,0.0,100.83983455218299,0.0,0.0,0.0,0.7782218276595744,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,760.4246548856548,365.764259,295.821060347817
98,377.9593531,396.6608949,0.0,0.0,0.0,90.97674492837308,0.0,0.0,0.0,0.8041688363829786,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,785.7782808731808,377.9593531,305.68414997162694
99,360.5377905,396.6608949,0.0,0.0,0.0,105.0668726388771,0.0,0.0,0.0,0.7671016819148936,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,749.5588160083161,360.5377905,291.5940222611229
100,362.279945,396.6608949,0.0,0.0,0.0,103.65786129127105,0.0,0.0,0.0,0.7708083936170212,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,753.1807588357589,362.279945,293.00303360872897
101,346.6005395,396.6608949,0.0,0.0,0.0,116.33897555135354,0.0,0.0,0.0,0.7374479563829787,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.5832422037422,346.6005395,280.3219193486465
102,353.569165,396.6608949,0.0,0.0,0.0,110.70292409511535,0.0,0.0,0.0,0.7522748191489361,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,735.0710291060291,353.569165,285.95797080488467
103,352.4361953,396.6608949,0.0,0.0,0.0,111.61924188655905,0.0,0.0,0.0,0.7498642453191489,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,732.7155827442828,352.4361953,285.04165301344096
104,348.135434,396.6608949,0.0,0.0,0.0,115.09759095091874,0.0,0.0,0.0,0.740713689361702,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,723.774291060291,348.135434,281.5633039490813
105,312.5361524,396.6608949,0.0,0.0,0.0,143.88940691271983,0.0,0.0,0.6649705370212765,0.0,0.0,1.0,0.0,0.0,649.7633106029106,312.5361524,252.77148798728018,0.0,0.0,0.0,0.0,0.0
106,300.9302561,396.6608949,0.0,0.0,0.0,153.27596797021448,0.0,0.0,0.6402771406382978,0.0,0.0,1.0,0.0,0.0,625.6346280665281,300.9302561,243.38492692978554,0.0,0.0,0.0,0.0,0.0
107,267.7250826,396.6608949,0.0,0.0,0.0,180.13148868363447,0.0,0.0,0.5696278353191488,0.0,0.0,1.0,0.0,0.0,556.6010033264034,267.7250826,216.52940621636554,0.0,0.0,0.0,0.0,0.0
108,253.5148143,396.6608949,0.0,0.0,0.0,191.6244012164935,0.0,0.0,0.5393932219148935,0.0,0.0,1.0,0.0,0.0,527.057825987526,253.5148143,205.0364936835065,0.0,0.0,0.0,0.0,0.0
109,249.9992176,396.6608949,0.0,0.0,0.0,194.46772862741284,0.0,0.0,0.0,0.5319132289361702,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,519.7488931392932,249.9992176,202.19316627258718
110,287.3005279,396.6608949,0.0,0.0,0.0,164.2993540697747,0.0,0.0,0.0,0.6112777189361702,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,597.2983948024948,287.3005279,232.36154083022532
111,308.5140356,396.6608949,0.0,0.0,0.0,147.14239521691263,0.0,0.0,0.0,0.6564128417021275,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,641.4013214137215,308.5140356,249.51849968308738
112,328.5745047,396.6608949,0.0,0.0,0.0,130.91798538403003,0.0,0.0,0.0,0.6990946908510637,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,683.1070783783783,328.5745047,265.74290951597
113,332.0588187,396.6608949,0.0,0.0,0.0,128.09995864494198,0.0,0.0,0.0,0.7065081248936169,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,690.3509744282744,332.0588187,268.56093625505804
