k,Q_D,P_D,E_TES,Qin_TES,Qout_TES,Pgrid,Qin_B1,Qout_B1,Qin_CHP1,Qout_CHP1,Pout_CHP1,Qin_B2,Qout_B2,Qin_CHP2,Qout_CHP2,Pout_CHP2
49,386.6701356,396.6608949,0.0,0.0,0.0,115.67497434674823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,777.0709566783048,386.6701356,280.9859205532518
50,384.9279786,396.6608949,0.0,0.0,0.0,116.94096709696072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,773.5698339330141,384.9279786,279.7199278030393
51,384.9279786,396.6608949,0.0,0.0,0.0,116.94096709696072,0.0,0.0,773.5698339330141,384.9279786,279.7199278030393,0.0,0.0,0.0,0.0,0.0
52,381.4436671,396.6608949,0.0,0.0,0.0,119.47295078068271,0.0,0.0,766.5675934665534,381.4436671,277.1879441193173,0.0,0.0,0.0,0.0,0.0
53,381.4436671,396.6608949,0.0,0.0,0.0,119.47295078068271,0.0,0.0,766.5675934665534,381.4436671,277.1879441193173,0.0,0.0,0.0,0.0,0.0
54,383.1858216,396.6608949,0.0,0.0,0.0,118.20695984717327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,770.0687111877234,383.1858216,278.45393505282675
55,421.0031304,587.1223702,0.0,0.0,0.0,281.18730757178935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,846.0681991818379,421.0031304,305.93506262821063
56,549.5079332,781.293796,0.0,0.0,0.0,381.97670826596396,0.0,0.0,977.1309771309772,486.21990589028024,353.326867708311,0.0,0.0,127.18667256661709,63.28802730971978,45.99022002572508
57,524.1485906,781.293796,0.0,0.0,0.0,400.40486593588435,0.0,0.0,76.22331439483362,37.92868470971979,27.562062355804706,0.0,0.0,977.1309771309772,486.21990589028024,353.326867708311
58,508.9603391,791.3176496,0.0,0.0,0.0,421.4657364565203,0.0,0.0,45.70027153024337,22.740433209719754,16.525045435168703,0.0,0.0,977.1309771309772,486.21990589028024,353.326867708311
59,495.7810111,791.3176496,0.0,0.0,0.0,431.0429064249404,0.0,0.0,19.21445823761429,9.561105209719756,6.947875466748608,0.0,0.0,977.1309771309772,486.21990589028024,353.326867708311
60,476.4819936,791.3176496,0.0,0.0,0.0,445.0671397410104,0.0,0.0,957.5611988554565,476.4819936,346.2505098589896,0.0,0.0,0.0,0.0,0.0
61,482.171696,791.3176496,0.0,0.0,0.0,440.9325399378545,0.0,0.0,968.995499258104,482.171696,350.3851096621455,0.0,0.0,0.0,0.0,0.0
